X,Y
474196.4988,9529531.923
474196.4988,9529544.101
474196.4989,9529882.814
474196.4989,9529887.171
474196.499,9530609.053
474196.499,9530610.142
474197.5879,9529479.844
474197.5879,9529480.735
474197.5879,9529480.735
474197.5879,9529495.091
474197.588,9529878.458
474197.588,9529882.814
474198.677,9529470.042
474198.677,9529479.844
474198.6771,9529873.013
474198.6771,9529878.458
474199.7662,9529868.656
474199.7662,9529873.013
474200.2116,9529470.042
474200.8552,9529614.893
474200.8552,9529615.982
474200.8553,9529866.478
474200.8553,9529868.656
474201.9444,9529613.804
474201.9444,9529614.893
474201.9444,9529864.3
474201.9444,9529866.478
474201.9446,9530610.142
474201.9446,9530611.231
474203.0335,9529612.715
474203.0335,9529613.804
474204.1226,9529610.537
474204.1226,9529612.715
474204.1226,9529722.715
474204.1226,9529723.606
474204.1226,9529861.032
474204.1226,9529864.3
474205.2117,9529609.448
474205.2117,9529610.537
474205.2117,9529683.309
474205.2117,9529684.398
474205.2117,9529721.626
474205.2117,9529722.715
474205.2117,9529857.765
474205.2117,9529861.032
474205.2119,9530611.231
474205.2119,9530612.32
474206.3008,9529468.953
474206.3008,9529470.042
474206.3008,9529568.953
474206.3008,9529580.933
474206.3008,9529582.022
474206.3008,9529607.27
474206.3008,9529609.448
474206.3008,9529720.537
474206.3008,9529721.626
474206.3009,9529852.319
474206.3009,9529857.765
474207.3899,9529466.774
474207.3899,9529468.953
474207.3899,9529582.022
474207.3899,9529583.111
474207.3899,9529606.18
474207.3899,9529607.27
474207.3899,9529719.448
474207.3899,9529720.537
474207.39,9529846.874
474207.39,9529852.319
474207.3902,9530612.32
474207.3902,9530613.41
474208.479,9529465.685
474208.479,9529466.774
474208.479,9529583.111
474208.479,9529584.2
474208.479,9529604.002
474208.479,9529606.18
474208.479,9529718.359
474208.479,9529719.448
474208.4791,9529843.607
474208.4791,9529846.874
474209.5681,9529463.507
474209.5681,9529465.685
474209.5681,9529584.2
474209.5681,9529585.289
474209.5681,9529602.913
474209.5681,9529604.002
474209.5682,9529717.27
474209.5682,9529718.359
474209.5682,9529840.339
474209.5682,9529843.607
474209.5684,9530613.41
474209.5684,9530614.499
474210.6572,9529461.329
474210.6572,9529463.507
474210.6572,9529585.289
474210.6572,9529586.378
474210.6572,9529601.824
474210.6572,9529602.913
474210.6573,9529716.181
474210.6573,9529717.27
474210.6573,9529723.606
474210.6573,9529724.695
474210.6573,9529837.072
474210.6573,9529840.339
474210.6575,9530614.499
474210.6575,9530615.588
474211.1028,9529837.072
474211.7463,9529460.24
474211.7463,9529461.329
474211.7463,9529586.378
474211.7463,9529587.467
474211.7463,9529600.735
474211.7464,9529601.824
474211.7464,9529684.398
474211.7464,9529685.487
474211.7464,9529715.091
474211.7464,9529716.181
474211.7466,9530615.588
474211.7466,9530616.677
474212.8354,9529458.061
474212.8354,9529460.24
474212.8355,9529599.646
474212.8355,9529600.735
474212.8355,9529714.002
474212.8355,9529715.091
474212.8357,9530616.677
474213.9245,9529455.883
474213.9245,9529458.061
474213.9246,9529587.467
474213.9246,9529593.557
