ESTE,NORTE
473856.999,9529644.415
473856.999,9529646.593
473855.9099,9529646.593
473855.9099,9529647.682
473854.8208,9529647.682
473854.8208,9529649.86
473853.7317,9529649.86
473853.7317,9529652.038
473852.6426,9529652.038
473852.6426,9529654.217
473851.5535,9529654.217
473851.5535,9529656.395
473850.4644,9529656.395
473850.4644,9529657.484
473849.3753,9529657.484
473849.3753,9529659.662
473848.2862,9529659.662
473848.2862,9529661.84
473847.1971,9529661.84
473847.1971,9529662.929
473846.108,9529662.929
473846.108,9529665.108
473845.0189,9529665.108
473845.0189,9529666.197
473843.9298,9529666.197
473843.9298,9529667.286
473842.8407,9529667.286
473842.8407,9529669.464
473841.7516,9529669.464
473841.7516,9529671.642
473840.6625,9529671.642
473840.6625,9529672.731
473839.5734,9529672.731
473839.5734,9529674.91
473838.4843,9529674.91
473838.4843,9529675.999
473837.3952,9529675.999
473837.3952,9529677.088
473836.3061,9529677.088
473836.3061,9529679.266
473835.217,9529679.266
473835.217,9529680.355
473834.1279,9529680.355
473834.1279,9529682.533
473833.0388,9529682.533
473833.0388,9529683.622
473831.9497,9529683.622
473831.9497,9529684.711
473830.8606,9529684.711
473830.8606,9529686.89
473829.7715,9529686.89
473829.7715,9529687.979
473828.6824,9529687.979
473828.6824,9529689.068
473827.5933,9529689.068
473827.5933,9529691.246
473826.5042,9529691.246
473826.5042,9529693.424
473825.4151,9529693.424
473825.4151,9529699.959
473824.326,9529699.959
473824.326,9529703.226
473823.2369,9529703.226
473823.2369,9529705.404
473819.9696,9529705.404
473819.9696,9529707.583
473818.8805,9529707.583
473818.8805,9529709.761
473817.7914,9529709.761
473817.7914,9529710.85
473816.7023,9529710.85
473816.7023,9529713.028
473815.6132,9529713.028
473815.6132,9529714.117
473814.5241,9529714.117
473814.5241,9529716.295
473813.435,9529716.295
473813.435,9529718.474
473812.3459,9529718.474
473812.3459,9529719.563
473811.2568,9529719.563
473811.2568,9529721.741
473810.1677,9529721.741
473810.1677,9529723.919
473809.0786,9529723.919
473809.0786,9529725.008
473807.9895,9529725.008
473807.9895,9529727.186
473806.9004,9529727.186
473806.9004,9529729.365
473805.8113,9529729.365
473805.8113,9529730.454
473804.7222,9529730.454
473804.7222,9529732.632
473803.6331,9529732.632
473803.6331,9529733.721
473802.544,9529733.721
473802.544,9529734.81
473801.4549,9529734.81
473801.4549,9529736.988
473800.3658,9529736.988
473800.3658,9529739.166
473799.2767,9529739.166
473799.2767,9529740.256
473798.1876,9529740.256
473798.1876,9529741.345
473796.0094,9529741.345
473796.0094,9529742.434
473793.8312,9529742.434
473793.8312,9529743.523
473792.7421,9529743.523
473792.7421,9529744.612
473787.2966,9529744.612
473787.2966,9529745.701
473785.1184,9529745.701
473785.1184,9529746.79
473777.9402,9529746.79
473771.8511,9529746.79
473771.8511,9529745.701
473770.762,9529745.701
473770.762,9529744.612
473769.6729,9529744.612
473769.6729,9529743.523
473767.4947,9529743.523
473767.4947,9529742.434
473765.3165,9529742.434
473765.3165,9529741.345
473762.0492,9529741.345
473762.0492,9529740.256
473758.7819,9529740.256
473758.7819,9529739.166
473756.6037,9529739.166
473756.6037,9529738.077
473755.5146,9529738.077
473748.98,9529738.077
473748.98,9529736.988
473745.9108,9529736.988
473745.9108,9529752.038
473746.9999,9529752.038
473746.9999,9529787.532
473746.9999,9529798.869
473748.089,9529798.869
473748.089,9529809.314
473748.089,9529845.7
473749.1781,9529845.7
473749.1781,9529875.749
473749.1781,9529882.284
473749.1781,9529892.531
473750.2672,9529892.531
473750.2672,9529898.621
473750.2672,9529906.244
473750.2672,9529913.868
473750.2672,9529914.957
473750.2672,9529919.313
473750.2672,9529925.848
473750.2672,9529932.383
473750.2672,9529936.739
473750.2672,9529939.363
473751.3563,9529939.363
473751.3563,9529945.452
473751.3563,9529950.897
473751.3563,9529957.432
473751.3563,9529967.234
473751.3563,9529970.501
473751.3563,9529985.105
473752.4454,9529985.105
473752.4454,9530020.6
473752.4454,9530031.936
473753.5345,9530031.936
473753.5345,9530050.005
473753.5345,9530058.718
473753.5345,9530071.787
473753.5345,9530078.768
473754.6236,9530078.768
473754.6236,9530088.124
473754.6236,9530097.926
473754.6236,9530104.46
473754.6236,9530125.599
473755.7127,9530125.599
473755.7127,9530172.43
473756.8018,9530172.43
473756.8018,9530219.261
473757.8909,9530219.261
473757.8909,9530242.133
473759.871,9530242.133
473759.871,9530241.043
473763.1383,9530241.043
473763.1383,9530239.954
473766.4056,9530239.954
473766.4056,9530238.865
473769.6729,9530238.865
473769.6729,9530237.776
473772.9402,9530237.776
473772.9402,9530236.687
473776.2075,9530236.687
473776.2075,9530235.598
473779.4748,9530235.598
473779.4748,9530234.509
473782.7421,9530234.509
473782.7421,9530233.42
473786.0094,9530233.42
473786.0094,9530232.331
473788.1876,9530232.331
473788.1876,9530231.242
473791.4549,9530231.242
473791.4549,9530230.152
473794.7222,9530230.152
473794.7222,9530229.063
473797.9895,9530229.063
473797.9895,9530227.974
473800.1677,9530227.974
473800.1677,9530226.885
473803.435,9530226.885
473803.435,9530225.796
473805.6132,9530225.796
473805.6132,9530224.707
473817.7914,9530224.707
473817.7914,9530225.796
473821.0587,9530225.796
473821.0587,9530226.885
473823.2369,9530226.885
473823.2369,9530227.974
473825.4151,9530227.974
473825.4151,9530229.063
473836.3061,9530229.063
473836.3061,9530231.242
473838.4843,9530231.242
473838.4843,9530232.331
473840.4644,9530232.331
473840.4644,9530231.242
473860.0682,9530231.242
473860.0682,9530230.152
473885.3156,9530230.152
473885.3156,9530231.242
473909.2758,9530231.242
473909.2758,9530232.331
473919.0777,9530232.331
473919.0777,9530233.42
473925.6123,9530233.42
473925.6123,9530234.509
473931.0578,9530234.509
473931.0578,9530235.598
473935.4142,9530235.598
473935.4142,9530236.687
473939.7706,9530236.687
473939.7706,9530237.776
473945.2161,9530237.776
473945.2161,9530238.865
473948.4834,9530238.865
473948.4834,9530239.954
473950.6616,9530239.954
473950.6616,9530241.043
473952.8398,9530241.043
473952.8398,9530242.133
473953.9289,9530242.133
473953.9289,9530243.222
473955.018,9530243.222
473955.018,9530244.311
473956.1071,9530244.311
473957.6417,9530244.311
473963.7308,9530244.311
473963.7308,9530245.4
473966.9981,9530245.4
473966.9981,9530246.489
473969.1763,9530246.489
473969.1763,9530247.578
473971.3545,9530247.578
473975.7109,9530247.578
473975.7109,9530248.667
473977.691,9530248.667
473978.7801,9530248.667
473978.7801,9530247.578
473979.8692,9530247.578
473979.8692,9530246.489
473980.9583,9530246.489
473980.9583,9530245.4
473982.0474,9530245.4
473982.0474,9530243.222
473983.1365,9530243.222
473983.1365,9530242.133
473984.2256,9530242.133
473984.2256,9530241.043
473985.3147,9530241.043
473985.3147,9530239.954
473986.4038,9530239.954
473986.4038,9530237.776
473987.4929,9530237.776
473987.4929,9530236.687
473988.582,9530236.687
473988.582,9530235.598
473989.6711,9530235.598
473989.6711,9530234.509
473990.7602,9530234.509
473990.7602,9530232.331
473991.8493,9530232.331
473991.8493,9530231.242
474005.1166,9530231.242
474005.1166,9530232.331
474006.2057,9530232.331
474006.2057,9530233.42
474007.2948,9530233.42
474007.2948,9530235.598
474008.3839,9530235.598
474008.3839,9530236.687
474009.473,9530236.687
474009.473,9530237.776
474010.5621,9530237.776
474010.5621,9530238.865
474011.6512,9530238.865
474011.6512,9530239.954
474012.7403,9530239.954
474012.7403,9530241.043
474013.8294,9530241.043
474013.8294,9530242.133
474014.9185,9530242.133
474014.9185,9530244.311
474016.0076,9530244.311
474016.0076,9530245.4
474017.0967,9530245.4
474017.0967,9530246.489
474018.1858,9530246.489
474018.1858,9530247.578
474019.2749,9530247.578
474019.2749,9530248.667
474020.364,9530248.667
474020.364,9530250.845
474021.4531,9530250.845
474021.4531,9530251.934
474022.5422,9530251.934
474022.5422,9530253.024
474023.6313,9530253.024
474023.6313,9530254.113
474024.7204,9530254.113
474024.7204,9530255.202
474025.8095,9530255.202
474025.8095,9530257.38
474026.8986,9530257.38
474026.8986,9530258.469
474027.9877,9530258.469
474027.9877,9530259.558
474029.0768,9530259.558
474029.0768,9530260.647
474030.1659,9530260.647
474030.1659,9530261.736
474031.255,9530261.736
474031.255,9530262.825
474032.3441,9530262.825
474032.3441,9530263.915
474033.4332,9530263.915
474033.4332,9530266.093
474034.5223,9530266.093
474034.5223,9530267.182
474035.6114,9530267.182
474035.6114,9530268.271
474036.7005,9530268.271
474036.7005,9530270.449
474037.7896,9530270.449
474037.7896,9530271.538
474038.8787,9530271.538
474038.8787,9530272.627
474039.9678,9530272.627
474039.9678,9530273.716
474041.0569,9530273.716
474041.0569,9530274.806
474042.146,9530274.806
474042.146,9530275.895
474043.2351,9530275.895
474043.2351,9530276.984
474044.3242,9530276.984
