x_utm_wgs8,y_utm_wgs8,x_geo_wgs8,y_geo_wgs8,x_utm_psad,y_utm_psad,x_geo_psad,y_geo_psad
473851.5535,9529656.395,-81.23563404,-4.255231569,474108.281,9530028.755,-81.23331036,-4.251817076
473852.6426,9529652.038,-81.23562424,-4.255270983,474109.3701,9530024.399,-81.23330055,-4.25185649
473852.6426,9529654.217,-81.23562423,-4.255251278,474109.3701,9530026.577,-81.23330055,-4.251836785
473853.7317,9529649.86,-81.23561443,-4.255290692,474110.4592,9530022.221,-81.23329075,-4.251876199
473853.7317,9529652.038,-81.23561443,-4.255270986,474110.4592,9530024.399,-81.23329074,-4.251856493
473854.8208,9529647.682,-81.23560462,-4.255310401,474111.5483,9530020.042,-81.23328094,-4.251895907
473854.8208,9529649.86,-81.23560462,-4.255290695,474111.5483,9530022.221,-81.23328093,-4.251876202
473855.9099,9529646.593,-81.23559481,-4.255320256,474112.6374,9530018.953,-81.23327113,-4.251905763
473855.9099,9529647.682,-81.23559481,-4.255310404,474112.6374,9530020.042,-81.23327112,-4.25189591
473856.999,9529644.415,-81.235585,-4.255339965,474113.7265,9530016.775,-81.23326132,-4.251925472
473856.999,9529646.593,-81.235585,-4.255320259,474113.7265,9530018.953,-81.23326131,-4.251905766
473858.0881,9529642.237,-81.2355752,-4.255359674,474114.8156,9530014.597,-81.23325151,-4.25194518
473858.0881,9529644.415,-81.23557519,-4.255339968,474114.8156,9530016.775,-81.2332515,-4.251925475
473859.1772,9529640.058,-81.23556539,-4.255379382,474115.9047,9530012.419,-81.2332417,-4.251964889
473859.1772,9529642.237,-81.23556538,-4.255359677,474115.9047,9530014.597,-81.2332417,-4.251945183
473860.0682,9530230.152,-81.23555574,-4.250040959,474116.7959,9530602.518,-81.23323207,-4.246626471
473860.0682,9530231.242,-81.23555573,-4.250031106,474116.7959,9530603.608,-81.23323207,-4.246616619
473860.2663,9529637.88,-81.23555558,-4.255399091,474116.9938,9530010.24,-81.23323189,-4.251984597
473860.2663,9529640.058,-81.23555557,-4.255379385,474116.9938,9530012.419,-81.23323189,-4.251964892
473861.3554,9529636.791,-81.23554577,-4.255408947,474118.083,9530009.151,-81.23322208,-4.251994453
473861.3554,9529637.88,-81.23554577,-4.255399094,474118.083,9530010.24,-81.23322208,-4.2519846
473862.4445,9529634.613,-81.23553596,-4.255428655,474119.1721,9530006.973,-81.23321228,-4.252014162
473862.4445,9529636.791,-81.23553595,-4.25540895,474119.1721,9530009.151,-81.23321227,-4.251994456
473863.5336,9529633.524,-81.23552615,-4.255438511,474120.2612,9530005.884,-81.23320246,-4.252024017
473863.5336,9529634.613,-81.23552615,-4.255428658,474120.2612,9530006.973,-81.23320246,-4.252014165
473864.6227,9529631.346,-81.23551634,-4.25545822,474121.3503,9530003.706,-81.23319266,-4.252043726
473864.6227,9529633.524,-81.23551633,-4.255438514,474121.3503,9530005.884,-81.23319265,-4.25202402
473865.7118,9529630.256,-81.23550653,-4.255468076,474122.4394,9530002.617,-81.23318285,-4.252053582
473865.7118,9529631.346,-81.23550653,-4.255458223,474122.4394,9530003.706,-81.23318284,-4.252043729
473866.8009,9529628.078,-81.23549672,-4.255487784,474123.5285,9530000.438,-81.23317304,-4.25207329
473866.8009,9529630.256,-81.23549671,-4.255468079,474123.5285,9530002.617,-81.23317303,-4.252053585
473867.89,9529626.989,-81.23548691,-4.25549764,474124.6176,9529999.349,-81.23316323,-4.252083146
473867.89,9529628.078,-81.23548691,-4.255487787,474124.6176,9530000.438,-81.23316322,-4.252073293
473868.9791,9529625.9,-81.2354771,-4.255507496,474125.7067,9529998.26,-81.23315342,-4.252093002
473868.9791,9529626.989,-81.2354771,-4.255497643,474125.7067,9529999.349,-81.23315341,-4.252083149
473872.2464,9529624.811,-81.23544766,-4.255517358,474128.9741,9529997.171,-81.23312398,-4.252102863
473872.2464,9529625.9,-81.23544766,-4.255507505,474128.9741,9529998.26,-81.23312397,-4.252093011
473873.3355,9529623.722,-81.23543785,-4.255527213,474130.0632,9529996.082,-81.23311417,-4.252112719
473873.3355,9529624.811,-81.23543784,-4.255517361,474130.0632,9529997.171,-81.23311416,-4.252102866
473874.4246,9529621.544,-81.23542804,-4.255546922,474131.1523,9529993.904,-81.23310436,-4.252132428
473874.4246,9529623.722,-81.23542803,-4.255527216,474131.1523,9529996.082,-81.23310435,-4.252112722
473875.5137,9529620.455,-81.23541823,-4.255556778,474132.2414,9529992.815,-81.23309455,-4.252142284
473875.5137,9529621.544,-81.23541822,-4.255546925,474132.2414,9529993.904,-81.23309454,-4.252132431
473876.6028,9529619.365,-81.23540842,-4.255566634,474133.3305,9529991.726,-81.23308474,-4.252152139
473876.6028,9529620.455,-81.23540841,-4.255556781,474133.3305,9529992.815,-81.23308473,-4.252142286
